"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"140";"rcp8p5";2;8005;2,87837781487381;8;0;0,351021684740708
"141";"historical";3;8005;0,194481912673304;1;0;0,142303838541442
"142";"rcp8p5";3;8005;1,0571739860329;2;0;0,459640863492564
"143";"historical";4;8005;0,0136500230348738;0;0;0,0585000987208876
"144";"historical";5;8005;0,0110213186962283;0;0;0,0661279121773699
"145";"rcp8p5";5;8005;3,44753811337154;7;0;0,474431850463973
"146";"rcp8p5";7;8005;1,62385051511748;3;0;0,455285191154435
"147";"rcp8p5";8;8005;0,00578700135951096;0;0;0,0578700135951096
"148";"rcp8p5";10;8005;0,202815457633313;0;0;0,434604552071384
"149";"historical";16;8005;68,3658746003383;48;8;1,41446637104148
"150";"rcp8p5";16;8005;63,0964587119878;48;8;1,31086825578922
"151";"historical";17;8005;84,7242481656683;51;7;1,64088279210462
"152";"rcp8p5";17;8005;151,563150843613;79;8;1,90725441497835
"153";"historical";18;8005;82,7903107038135;58;8;1,42496231848216
"154";"rcp8p5";18;8005;122,508182400196;75;9;1,61833794452042
"155";"historical";19;8005;70,0776617002115;49;7;1,42724361914891
"156";"rcp8p5";19;8005;84,8054509096557;56;8;1,49744763230705
"157";"historical";20;8005;64,8703047162258;48;7;1,34029555198814
"158";"rcp8p5";20;8005;113,430518525674;69;7;1,6227541992228
"159";"historical";1;8006;0,0529942804875349;0;0;0,158982841462605
"160";"rcp8p5";1;8006;0,0856136753419378;0;0;0,197570020019856
"161";"rcp8p5";2;8006;2,70575371493561;4;0;0,571638108789214
"162";"historical";3;8006;0,116645956505565;0;0;0,291614891263913
"163";"rcp8p5";3;8006;1,23999093742573;1;0;0,82666062495049
"164";"rcp8p5";5;8006;5,0305696916634;5;0;0,992875597038829
"165";"rcp8p5";7;8006;3,28249270991517;3;0;0,82751917056685
"166";"rcp8p5";10;8006;0,0859386867695335;0;0;0,2578160603086
"167";"historical";16;8006;152,916460289027;50;7;3,02007492341725
"168";"rcp8p5";16;8006;129,672608702682;46;7;2,76094979494709
"169";"historical";17;8006;184,737425893017;53;6;3,47250800550784
"170";"rcp8p5";17;8006;314,121778963224;80;8;3,89246318417874
"171";"historical";18;8006;185,048788518715;62;8;2,98305408681432
"172";"rcp8p5";18;8006;270,510639437599;79;8;3,41553837673736
"173";"historical";19;8006;161,37655962557;52;7;3,04867555967701
"174";"rcp8p5";19;8006;184,222817244438;58;7;3,15270080851861
"175";"historical";20;8006;144,544804951829;50;7;2,87175109175819
"176";"rcp8p5";20;8006;241,877293040419;71;6;3,39556330894364
"177";"historical";1;8009;1,37193018407788;9;0;0,14390876056761
"178";"rcp8p5";1;8009;3,19711742419183;18;0;0,173442174910949
"179";"historical";2;8009;1,03298641413269;9;0;0,110677115799931
"180";"rcp8p5";2;8009;5,90300911558718;32;1;0,1829444973839
"181";"historical";3;8009;1,15501468246433;9;0;0,127391325271801
"182";"rcp8p5";3;8009;3,24457246523794;21;1;0,148606372453646
"183";"historical";4;8009;1,32207205617901;9;0;0,145816770902097
"184";"rcp8p5";4;8009;3,20224989440655;18;0;0,168835671058342
"185";"historical";5;8009;0,935224891009528;7;0;0,117885490463386
"186";"rcp8p5";5;8009;5,88520919175051;32;1;0,178519995705273
"187";"historical";16;8009;6,82313874318078;38;7;0,177377956928443
"188";"rcp8p5";16;8009;5,53019119511117;33;7;0,163293047099739
"189";"historical";17;8009;9,6661956806767;42;6;0,226374606104841
"190";"rcp8p5";17;8009;16,6121167921131;68;8;0,241924030953104
"191";"historical";18;8009;7,70751408175135;45;8;0,169893771089302
"192";"rcp8p5";18;8009;12,9522651872799;65;10;0,197744506676029
"193";"historical";19;8009;6,66141279147793;39;6;0,169645487049523
"194";"rcp8p5";19;8009;8,52298846246264;47;7;0,18069940203101
"195";"historical";20;8009;5,92515804311887;36;7;0,16042846687145
"196";"rcp8p5";20;8009;10,3133064652227;56;8;0,183293361348745
"197";"historical";16;9001;15,6884345811726;45;9;0,344800760025771
"198";"rcp8p5";16;9001;9,38961111544418;31;7;0,300949074212954
"199";"historical";17;9001;21,9277004632125;50;9;0,437970049198653
"200";"rcp8p5";17;9001;31,3569728948952;68;10;0,460680306976912
"201";"historical";18;9001;17,2962330765687;51;10;0,333260752920399
"202";"rcp8p5";18;9001;22,9945955546393;64;12;0,356137256912328
"203";"historical";19;9001;16,770798365235;47;8;0,355564629651626
"204";"rcp8p5";19;9001;15,9532185070191;45;8;0,351909231772481
"205";"historical";20;9001;13,1550142522904;43;9;0,302646033411588
"206";"rcp8p5";20;9001;19,2315751089678;58;10;0,33025028807615
"207";"historical";16;9002;23,9524619016554;43;9;0,55617171598271
"208";"rcp8p5";16;9002;15,1762850361988;30;7;0,501419109125512
"209";"historical";17;9002;34,5106793941857;46;8;0,736358735295571
"210";"rcp8p5";17;9002;49,7408549528822;65;9;0,765243922352034
"211";"historical";18;9002;26,4947246010278;49;10;0,537055228399211
"212";"rcp8p5";18;9002;34,4031355274866;59;11;0,577233817575279
"213";"historical";19;9002;27,3793790340488;45;8;0,5999863922728
"214";"rcp8p5";19;9002;25,6438053318665;44;8;0,579302831292164
"215";"historical";20;9002;20,5874388951336;41;9;0,493309238701285
"216";"rcp8p5";20;9002;30,6232847001061;56;9;0,539142336269473
"217";"historical";1;10002;1,51603996291714;11;0;0,129576065206593
"218";"rcp8p5";1;10002;1,42735833016065;12;1;0,116360733437009
"219";"historical";2;10002;1,48456762321956;14;1;0,104793008697852
"220";"rcp8p5";2;10002;6,5570041725702;40;2;0,161105753625803
"221";"historical";3;10002;1,36119647908349;13;1;0,104707421467961
"222";"rcp8p5";3;10002;2,96225523719561;22;1;0,129923475315597
"223";"historical";4;10002;1,76294098845768;14;1;0,12503127577714
"224";"rcp8p5";4;10002;2,10422048322128;18;1;0,116041570765879
"225";"historical";5;10002;1,21600425266559;13;1;0,089631763095744
