"";"station";"variable";"p5";"p25";"p50";"p75";"p95"
"229";27007;"deficit30";-20,4397454923658;3,92386415539652;28,8735673599614;47,9424382366344;Inf
"230";27007;"duration30";-10;0;4;16,25;21,5
"231";27007;"count30";-1,5;0;0;0;0,75
"232";27007;"intensity30";-4,02902354347277;3,86967279246971;7,65419965686216;8,39054093911759;Inf
"233";27009;"deficit30";-18,2481962007686;7,21489765246482;45,152977300333;Inf;Inf
"234";27009;"duration30";-5,9;-0,5;4;14;22,1
"235";27009;"count30";0;0;0;1;1
"236";27009;"intensity30";-8,23482660896541;2,35709545171227;8,37872970303885;Inf;Inf
"237";27021;"deficit30";-62,2608444595418;-10,5270103372983;97,8134898878271;298,787826322764;Inf
"238";27021;"duration30";-7;-1;5;15;20
"239";27021;"count30";-1;-0,5;0;1;2
"240";27021;"intensity30";-29,8442976312594;-3,56621999418741;26,6740677703951;49,1735626801117;Inf
"241";27034;"deficit30";-23,1241255425253;-0,917080806031852;24,9229339501922;47,3526407937283;Inf
"242";27034;"duration30";-10;-2,25;4;13,25;17,5
"243";27034;"count30";-1;-0,75;0,5;1;1
"244";27034;"intensity30";-3,30529166221174;2,39239629732393;5,38774287891134;8,8111275991359;Inf
"245";27035;"deficit30";-22,0665925664692;-0,874803187796712;27,2489236925977;44,0228808161398;Inf
"246";27035;"duration30";-10;-2,25;6;15,75;19,5
"247";27035;"count30";-1;-0,75;0;0;1,5
"248";27035;"intensity30";-3,48599767965983;1,55163329394985;6,08060579598189;7,73213051993711;Inf
"249";27041;"deficit30";-32,5046243002532;11,2242507736439;60,2543447593616;Inf;Inf
"250";27041;"duration30";-9,2;0;1;8;16,4
"251";27041;"count30";-1;0;0;0;2
"252";27041;"intensity30";-13,5934734373011;6,38340255344387;16,2474922122535;Inf;Inf
"253";27042;"deficit30";-35,413496226091;-30,7909350816795;3,27053224224464;58,4180983362599;78,7100048588833
"254";27042;"duration30";-10;-6;0;11;24,6
"255";27042;"count30";-2;-2;0;3;3
"256";27042;"intensity30";-8,48635376393272;-5,04827796917357;2,89016195774281;5,67521435648501;8,33021941209662
"257";27043;"deficit30";-21,6412323187721;-0,653611633697087;25,263449689824;43,1548772973249;Inf
"258";27043;"duration30";-11,25;-1,75;4;15,75;19,75
"259";27043;"count30";-1;-0,75;0;0;0,75
"260";27043;"intensity30";-2,98657605452607;1,36634383633816;6,07057445802726;6,73761607636818;Inf
"261";27055;"deficit30";-26,6008000762373;-12,7427170030951;-6,16554073627587;46,7533805376827;52,3269058168564
"262";27055;"duration30";-10,2;-3;-3;14;21,2
"263";27055;"count30";-1,8;-1;-1;2;2,8
"264";27055;"intensity30";-3,0601038234751;2,01531883336007;2,05637009368343;2,07027065873552;3,32995069637666
"265";27071;"deficit30";-51,6282846538193;-12,4687105804843;41,608523801259;759515,002049716;Inf
"266";27071;"duration30";-7,8;0;1;10;17,6
"267";27071;"count30";-1;0;0;0;1,6
"268";27071;"intensity30";-35,3752482717171;-3,61962772808499;3,76527848176911;12352,7049516347;Inf
"269";28008;"deficit30";-11,6982844187014;-1,25628557253283;19,7179405513101;48,4145085033247;Inf
"270";28008;"duration30";-6;-3;3,5;13;24,5
"271";28008;"count30";-1,5;0;0;0,75;1
"272";28008;"intensity30";1,61996496226478;3,42668014872355;5,07000779487784;5,62040941959272;Inf
"273";28009;"deficit30";-61,5566701392697;-18,7576196316345;29,87019274696;224,8060302668;Inf
"274";28009;"duration30";-9,5;-0,5;1;13;22,5
"275";28009;"count30";-1;0;0;1;1
"276";28009;"intensity30";-63,4093286410401;-2,60387818467506;18,2078299799107;26,869480423692;Inf
"277";28018;"deficit30";-10,5314090103333;-1,0320636484488;20,6267703128706;49,1394859313888;Inf
"278";28018;"duration30";-5,25;-3;3;15;26
"279";28018;"count30";-1,75;-0,75;0;0;0,75
"280";28018;"intensity30";1,12451940041346;5,01533919857135;5,32965966044528;6,06393604868586;Inf
"281";28022;"deficit30";-59,7318428480394;-13,4272782904326;23,1629385441999;209,689235009969;Inf
"282";28022;"duration30";-9;-0,5;1;13;22,5
"283";28022;"count30";-1;0;0;1;1,5
"284";28022;"intensity30";-53,6127311445792;-1,79172321159116;17,069634042369;27,6614641790288;Inf
"285";28031;"deficit30";-10,0562839103882;-2,71201350028439;44,8324628423009;Inf;Inf
"286";28031;"duration30";-3,95;-1,25;0;13,5;20,2
"287";28031;"count30";-0,65;0;0,5;1;1,65
"288";28031;"intensity30";-0,125792599989864;0,0967811842737394;4,78417960096241;Inf;Inf
"289";28046;"deficit30";-11,436261484064;-4,26360206864128;44,1984812909199;Inf;Inf
"290";28046;"duration30";-4,6;-1,25;0;13,25;19,85
"291";28046;"count30";-0,65;0;0;1;1
"292";28046;"intensity30";-0,992527121248669;1,05298905070033;5,06191509116416;Inf;Inf
"293";28050;"deficit30";-18,4701172406104;-2,23050071055445;32,7653877995936;Inf;Inf
"294";28050;"duration30";-9,5;-3;0;9,5;27,5
"295";28050;"count30";-1;-0,5;0;1;2
"296";28050;"intensity30";-2,69775790132383;1,90262764941288;2,60765858167517;Inf;Inf
"297";28066;"deficit30";-48,8886105779927;6,0041593743331;50,740854050632;164,380778566668;Inf
"298";28066;"duration30";-6,5;-2,5;3;15,5;24,5
"299";28066;"count30";-1,5;-0,5;1;1,5;2
"300";28066;"intensity30";-17,155694480034;7,57969328123662;21,2601801391907;29,4732015978307;Inf
"301";28082;"deficit30";-32,7087148674099;25,0788382331906;101,421192157864;2136,13362309996;Inf
"302";28082;"duration30";-13;0,5;4;12;26
"303";28082;"count30";-1,5;0;0;0;1,5
"304";28082;"intensity30";-8,89869887355173;1,41074098487843;47,2435447622667;516,084417367643;Inf
"305";29003;"deficit30";-84,8228201581062;-38,213115614824;-27,0329800198952;48,3749756804413;138,394075499689
"306";29003;"duration30";-6,75;-6;-3;9;33
"307";29003;"count30";-2,5;-1;-0,5;1,5;4,25
"308";29003;"intensity30";-80,0453078948319;-18,2094044057369;-7,97352772115445;6,58688349116435;15,3979254871554
"309";30001;"deficit30";-34,8497573059085;-18,5649525612643;-6,77311863061099;54,5452327559126;129,146032066885
"310";30001;"duration30";-14,8;-6;-4;21;50,6
"311";30001;"count30";-2,6;-1;0;1;3,4
"312";30001;"intensity30";-11,4840790123774;-10,8062780720555;2,81147407443079;8,49971672901064;18,8886955366866
"313";33002;"deficit30";-15,3514916208442;-3,18848877056097;3,42096592311863;64,3385093012205;96,0730485914673
"314";33002;"duration30";-8,8;-8;-3;21;33
"315";33002;"count30";-2;-2;-2;1;1
"316";33002;"intensity30";2,82472105127348;9,88052658235352;12,8976600825351;21,8516762651541;24,0908313019487
"317";33014;"deficit30";-40,5664134616556;-18,7190848925217;-11,7308587795829;44,6687872139595;175,359735864012
"318";33014;"duration30";-16,8;-12;-2;17;50,6
"319";33014;"count30";-3,6;-2;-1;3;5,4
"320";33014;"intensity30";-14,2322020878427;-7,44216375562272;0,834841368705147;8,66265165303838;30,4270387709693
"321";33019;"deficit30";-36,7058241704169;-11,4786555488362;-11,2512877752206;67,6425688067022;205,068943878607
"322";33019;"duration30";-18;-6;-4;26;56,4
"323";33019;"count30";-2,6;-1;-1;3;6,2
"324";33019;"intensity30";-2,82624253305873;-2,61913817257299;-0,685964891318327;15,3016762833427;27,6185104147002
"325";33026;"deficit30";-11,0243591145529;-7,01947227273965;3,40731025083674;49,8499786417773;94,3344219429857
"326";33026;"duration30";-6,6;-5;0;18;33,2
"327";33026;"count30";-1;-1;-1;1;1,8
"328";33026;"intensity30";0,774433588181476;4,47315196187202;4,62724382076334;11,666391050197;20,1735231771453
"329";33027;"deficit30";-41,5297025375945;-20,8338996140962;15,5167417331263;50,668318917872;221,28929502928
"330";33027;"duration30";-16,4;-10;5;20;59,2
"331";33027;"count30";-3,2;0;1;5;6,6
"332";33027;"intensity30";-7,5753065127308;-3,37802033645906;2,25076364329833;2,43009211600037;11,4120169450745
